Размер,Среднее_время_мс,Среднее_итерации,Мин_время_мс,Макс_время_мс,Повторов
100,0.3429,1201.0,0.1166,0.8434,5
200,0.4696,3084.4,0.2913,0.8056,5
300,0.5708,4918.4,0.4365,0.9184,5
400,0.5618,6866.6,0.1575,1.2339,5
500,0.31,9569.6,0.1932,0.3855,5
600,0.3289,11600.4,0.2305,0.472,5
700,0.4448,14091.6,0.2213,1.158,5
800,0.3321,16895.6,0.2594,0.486,5
900,0.2658,18467.2,0.1561,0.3601,5
1000,0.3116,22109.6,0.219,0.4015,5
1100,0.1969,24093.8,0.1862,0.2336,5
1200,0.346,29872.8,0.2152,0.6718,5
1300,0.2648,30809.0,0.2548,0.2843,5
1400,0.4293,33184.0,0.2737,0.6301,5
1500,0.365,34351.8,0.2816,0.5777,5
1600,0.4382,38879.4,0.3218,0.6604,5
1700,0.581,41646.2,0.3537,0.7217,5
1800,0.4767,45889.2,0.3886,0.7981,5
1900,0.593,45778.6,0.4449,0.7886,5
2000,0.5283,53777.8,0.429,0.8045,5
2100,0.6424,52267.8,0.4435,0.8406,5
2200,0.7654,56516.0,0.4579,1.0627,5
2300,0.6871,60005.6,0.5058,1.0549,5
2400,0.6259,60675.4,0.5437,0.7228,5
2500,0.6446,62724.6,0.5513,0.9067,5
2600,0.5941,70418.6,0.5737,0.6098,5
2700,0.676,74759.0,0.6436,0.7344,5
2800,0.8731,81989.4,0.6683,1.6205,5
2900,0.7408,75641.6,0.6383,1.0093,5
3000,0.9586,80654.8,0.7519,1.2933,5
3100,1.0617,85829.0,0.7884,1.6179,5
3200,1.3775,83464.6,1.2079,1.671,5
3300,1.4804,86732.4,1.3727,1.5612,5
3400,1.6455,96840.2,1.4252,1.958,5
3500,1.6143,100392.0,1.5485,1.6854,5
3600,2.001,111877.6,1.743,2.2391,5
3700,1.9473,112042.4,1.5879,2.3062,5
3800,1.8163,103668.4,1.5981,1.9969,5
3900,2.0012,111854.0,1.7499,2.3886,5
4000,1.9988,116320.6,1.719,2.3764,5
4100,2.0437,112664.2,1.7132,2.5691,5
4200,2.125,116255.0,1.8728,2.355,5
4300,1.6661,118167.2,1.2142,2.11,5
4400,1.9327,131465.8,1.1351,2.3875,5
4500,2.1682,132652.2,1.7831,2.7576,5
4600,1.9903,130070.4,1.8036,2.1854,5
4700,2.3683,150765.6,1.8141,2.6792,5
4800,2.5968,151095.2,2.3684,2.735,5
4900,2.6454,140513.0,2.1766,3.2059,5
5000,2.4937,144381.8,2.2875,2.6238,5
5100,2.9325,155440.2,2.3623,3.3355,5
5200,2.8754,154321.0,2.6309,3.4326,5
5300,3.5459,148804.6,2.4579,7.3519,5
5400,2.539,152699.4,2.2823,2.7854,5
5500,2.7113,156622.2,2.5238,2.9248,5
5600,2.4564,159473.2,1.9022,2.9905,5
5700,2.7099,174858.0,2.4757,2.9714,5
5800,3.0482,175591.4,2.6858,3.6723,5
5900,3.3035,182176.8,2.5241,4.6118,5
6000,3.7152,182851.2,3.1945,4.7601,5
6100,3.2613,198095.2,2.6785,3.7956,5
6200,2.242,200105.4,1.5874,2.5668,5
6300,2.2337,192000.2,1.5796,2.8802,5
6400,2.8163,191198.8,1.8894,3.3127,5
6500,3.2184,201980.6,2.544,3.7843,5
6600,2.2577,205101.6,1.6865,3.0441,5
6700,2.8597,204184.2,1.8885,3.3032,5
6800,3.7275,209954.8,3.5031,3.8572,5
6900,4.3126,204752.0,3.4188,6.5367,5
7000,3.5772,211921.4,3.1867,3.8859,5
7100,3.8065,213533.6,3.3374,4.3267,5
7200,3.5816,209339.6,3.307,3.9158,5
7300,3.6931,213711.4,3.6247,3.7707,5
7400,4.2546,240303.2,3.7202,4.959,5
7500,4.3324,242047.4,3.6887,4.9739,5
7600,4.3939,246796.2,3.907,4.979,5
7700,3.9434,248506.4,3.319,4.6687,5
7800,2.5261,247051.0,2.184,3.2329,5
7900,2.8578,267600.8,2.1503,4.0183,5
8000,3.4013,274182.4,2.0823,5.6874,5
8100,5.4138,274377.8,4.1539,6.8266,5
8200,5.5881,264648.4,3.9391,9.3709,5
8300,4.9334,256259.8,3.7303,5.7231,5
8400,5.0355,266057.0,3.9335,6.6673,5
8500,5.9746,270922.8,4.0087,6.8871,5
8600,4.3976,277549.4,3.9145,5.4476,5
8700,5.8921,291210.2,4.2599,6.8633,5
8800,5.2422,287529.0,4.1548,7.3228,5
8900,5.5631,272985.0,4.0887,6.9081,5
9000,5.7974,277855.8,4.0481,7.0289,5
9100,6.3021,275482.4,4.478,7.023,5
9200,5.4837,289554.2,4.1064,7.4865,5
9300,5.3642,283401.2,4.2051,7.7391,5
9400,4.9957,286447.2,4.2623,6.3752,5
9500,5.1837,285697.6,4.2175,7.0414,5
9600,5.3553,317495.6,4.5633,7.6591,5
9700,6.5992,318863.8,4.6548,8.0004,5
9800,5.5214,335858.4,4.6975,6.8645,5
9900,5.8715,329397.4,4.8598,7.5318,5
10000,7.8583,336733.0,7.3055,8.5752,5
