Размер,Среднее_время_мс,Среднее_итерации,Мин_время_мс,Макс_время_мс,Повторов
100,0.0792,1201.0,0.0431,0.1518,5
200,0.162,3084.4,0.1024,0.282,5
300,0.2597,4918.4,0.1622,0.3691,5
400,0.2025,6866.6,0.0398,0.5181,5
500,0.0796,9569.6,0.0577,0.111,5
600,0.2049,11600.4,0.1133,0.3344,5
700,0.1619,14091.6,0.0771,0.3283,5
800,0.201,16895.6,0.1023,0.5509,5
900,0.1158,18467.2,0.099,0.1267,5
1000,0.1132,22109.6,0.0673,0.1574,5
1100,0.0902,24093.8,0.0709,0.1633,5
1200,0.1163,29872.8,0.0805,0.1706,5
1300,0.0949,30809.0,0.087,0.1009,5
1400,0.1253,33184.0,0.0977,0.2012,5
1500,0.1122,34351.8,0.1023,0.1178,5
1600,0.1802,38879.4,0.1149,0.2874,5
1700,0.1797,41646.2,0.1261,0.2562,5
1800,0.2411,45889.2,0.1368,0.313,5
1900,0.2459,45778.6,0.1395,0.4829,5
2000,0.1848,53777.8,0.1587,0.2281,5
2100,0.2251,52267.8,0.1505,0.3419,5
2200,0.2072,56516.0,0.1564,0.282,5
2300,0.2897,60005.6,0.1811,0.4223,5
2400,0.2294,60675.4,0.1839,0.2682,5
2500,0.1926,62724.6,0.1848,0.2,5
2600,0.2078,70418.6,0.1929,0.2303,5
2700,0.2556,74759.0,0.2098,0.4183,5
2800,0.2806,81989.4,0.2323,0.4548,5
2900,0.2728,75641.6,0.2143,0.465,5
3000,0.2884,80654.8,0.2392,0.3342,5
3100,0.3444,85829.0,0.2724,0.443,5
3200,0.5013,83464.6,0.4748,0.534,5
3300,0.5483,86732.4,0.4744,0.7313,5
3400,0.5596,96840.2,0.499,0.6889,5
3500,0.5979,100392.0,0.547,0.7658,5
3600,0.6341,111877.6,0.5926,0.7294,5
3700,0.6285,112042.4,0.5534,0.7051,5
3800,0.6403,103668.4,0.5436,0.7786,5
3900,0.6224,111854.0,0.4528,0.7424,5
4000,0.6786,116320.6,0.6136,0.8082,5
4100,0.6593,112664.2,0.5926,0.7068,5
4200,0.7088,116255.0,0.6265,0.8002,5
4300,0.5818,118167.2,0.4697,0.724,5
4400,0.5736,131465.8,0.4021,0.7597,5
4500,0.675,132652.2,0.5082,0.7814,5
4600,0.7446,130070.4,0.669,0.8267,5
4700,0.8194,150765.6,0.6764,1.1295,5
4800,0.9882,151095.2,0.8015,1.0941,5
4900,0.8089,140513.0,0.6384,0.9685,5
5000,0.9605,144381.8,0.8046,1.2555,5
5100,0.8964,155440.2,0.816,0.9684,5
5200,0.9225,154321.0,0.8923,0.9796,5
5300,0.932,148804.6,0.8529,1.0252,5
5400,0.9451,152699.4,0.8726,1.1084,5
5500,0.888,156622.2,0.8249,1.0323,5
5600,1.0506,159473.2,0.9021,1.2784,5
5700,1.0054,174858.0,0.9,1.2528,5
5800,0.9119,175591.4,0.516,1.1391,5
5900,0.9328,182176.8,0.7671,1.0656,5
6000,1.2399,182851.2,1.1075,1.3303,5
6100,1.1643,198095.2,0.7244,1.5936,5
6200,1.1016,200105.4,0.5981,2.0752,5
6300,0.8809,192000.2,0.5622,1.0378,5
6400,0.9417,191198.8,0.5624,1.1288,5
6500,1.1643,201980.6,1.0627,1.2583,5
6600,0.8705,205101.6,0.589,1.2484,5
6700,0.9797,204184.2,0.594,1.2693,5
6800,1.2957,209954.8,1.1966,1.343,5
6900,1.204,204752.0,0.9236,1.6271,5
7000,1.2639,211921.4,1.1862,1.4955,5
7100,1.3404,213533.6,1.1981,1.4963,5
7200,1.2995,209339.6,1.1454,1.4893,5
7300,1.3326,213711.4,1.1483,1.5408,5
7400,1.4452,240303.2,1.3462,1.5961,5
7500,1.5113,242047.4,1.3838,1.914,5
7600,1.5192,246796.2,1.2282,1.9331,5
7700,1.4804,248506.4,1.2923,1.9956,5
7800,0.9105,247051.0,0.6721,1.3282,5
7900,0.711,267600.8,0.6973,0.7225,5
8000,0.9568,274182.4,0.7601,1.1837,5
8100,1.6018,274377.8,1.3658,2.1498,5
8200,1.4226,264648.4,1.3446,1.572,5
8300,1.6974,256259.8,1.3444,2.1208,5
8400,1.5986,266057.0,1.3532,2.0822,5
8500,1.5344,270922.8,1.3817,1.7672,5
8600,1.6235,277549.4,1.3913,1.9509,5
8700,2.0036,291210.2,1.4927,2.4329,5
8800,1.7508,287529.0,1.4217,2.293,5
8900,1.6107,272985.0,1.4167,2.3451,5
9000,1.5512,277855.8,1.4667,1.6783,5
9100,2.0759,275482.4,1.4856,2.302,5
9200,1.9626,289554.2,1.5126,2.4739,5
9300,1.9496,283401.2,1.4918,2.2967,5
9400,1.6348,286447.2,1.5104,2.015,5
9500,1.9382,285697.6,1.541,2.3447,5
9600,1.6272,317495.6,1.5798,1.6585,5
9700,1.7365,318863.8,1.5936,2.1249,5
9800,1.8858,335858.4,1.614,2.3423,5
9900,1.9484,329397.4,1.6238,2.4777,5
10000,2.4756,336733.0,2.1399,2.6877,5
