Size,Time(Ms),Iterations
100,0.0506,1201
100,0.1518,1201
100,0.1055,1201
100,0.045,1201
100,0.0431,1201
200,0.1024,2965
200,0.104,2965
200,0.1114,2965
200,0.282,3562
200,0.2103,2965
300,0.3691,5038
300,0.2649,5038
300,0.1779,5038
300,0.1622,4739
300,0.3244,4739
400,0.5181,7106
400,0.2871,7106
400,0.0851,6707
400,0.0398,6707
400,0.0822,6707
500,0.0591,9869
500,0.0577,9370
500,0.0725,9370
500,0.0976,9370
500,0.111,9869
600,0.2647,11241
600,0.3344,11840
600,0.1328,11840
600,0.1792,11241
600,0.1133,11840
700,0.1909,14511
700,0.3283,13812
700,0.1356,13812
700,0.0777,13812
700,0.0771,14511
800,0.1023,17375
800,0.1039,17375
800,0.1342,16576
800,0.5509,16576
800,0.1137,16576
900,0.1166,18647
900,0.1244,17748
900,0.1124,18647
900,0.1267,18647
900,0.099,18647
1000,0.0673,21710
1000,0.0677,22709
1000,0.1574,22709
1000,0.1309,21710
1000,0.1426,21710
1100,0.1633,23874
1100,0.0735,24973
1100,0.0722,23874
1100,0.071,23874
1100,0.0709,23874
1200,0.0805,28434
1200,0.0806,28434
1200,0.1706,30832
1200,0.166,32031
1200,0.0837,29633
1300,0.087,30809
1300,0.0941,30809
1300,0.1009,32108
1300,0.096,30809
1300,0.0967,29510
1400,0.1273,33184
1400,0.1016,31785
1400,0.2012,33184
1400,0.0977,33184
1400,0.0988,34583
1500,0.1177,34052
1500,0.1175,34052
1500,0.1178,34052
1500,0.1056,34052
1500,0.1023,35551
1600,0.2544,39519
1600,0.2874,36321
1600,0.124,39519
1600,0.1149,39519
1600,0.1204,39519
1700,0.1363,41986
1700,0.2562,41986
1700,0.2497,41986
1700,0.1304,40287
1700,0.1261,41986
1800,0.1368,46249
1800,0.313,44450
1800,0.2737,46249
1800,0.1804,46249
1800,0.3015,46249
1900,0.1395,46918
1900,0.4829,45019
1900,0.3209,45019
1900,0.1398,46918
1900,0.1463,45019
2000,0.1589,53378
2000,0.2281,51379
2000,0.1589,51379
2000,0.2192,59375
2000,0.1587,53378
2100,0.1628,53947
2100,0.1505,51848
2100,0.3419,51848
2100,0.3152,51848
2100,0.155,51848
