Size,Time(Ms),Iterations
100,0.8434,1201
100,0.2942,1201
100,0.3171,1201
100,0.1433,1201
100,0.1166,1201
200,0.2913,2965
200,0.3343,2965
200,0.3399,2965
200,0.8056,3562
200,0.577,2965
300,0.494,5038
300,0.5002,5038
300,0.5049,5038
300,0.4365,4739
300,0.9184,4739
400,1.2339,7106
400,0.7595,7106
400,0.2434,6707
400,0.4146,6707
400,0.1575,6707
500,0.2986,9869
500,0.1932,9370
500,0.3855,9370
500,0.3343,9370
500,0.3385,9869
600,0.472,11241
600,0.3651,11840
600,0.2305,11840
600,0.2819,11241
600,0.2948,11840
700,0.3723,14511
700,1.158,13812
700,0.2378,13812
700,0.2345,13812
700,0.2213,14511
800,0.2594,17375
800,0.3463,17375
800,0.486,16576
800,0.2892,16576
800,0.2798,16576
900,0.1886,18647
900,0.3267,17748
900,0.2974,18647
900,0.3601,18647
900,0.1561,18647
1000,0.3426,21710
1000,0.219,22709
1000,0.2614,22709
1000,0.4015,21710
1000,0.3335,21710
1100,0.2336,23874
1100,0.1898,24973
1100,0.1862,23874
1100,0.1878,23874
1100,0.1869,23874
1200,0.2152,28434
1200,0.2193,28434
1200,0.6718,30832
1200,0.3132,32031
1200,0.3103,29633
1300,0.2603,30809
1300,0.2843,30809
1300,0.2648,32108
1300,0.2548,30809
1300,0.26,29510
1400,0.4241,33184
1400,0.6301,31785
1400,0.4602,33184
1400,0.2737,33184
1400,0.3582,34583
1500,0.3245,34052
1500,0.3497,34052
1500,0.2916,34052
1500,0.2816,34052
1500,0.5777,35551
1600,0.6604,39519
1600,0.3507,36321
1600,0.3218,39519
1600,0.4671,39519
1600,0.3912,39519
1700,0.7217,41986
1700,0.6877,41986
1700,0.6636,41986
1700,0.3537,40287
1700,0.4782,41986
1800,0.3958,46249
1800,0.7981,44450
1800,0.4047,46249
1800,0.3886,46249
1800,0.3965,46249
1900,0.5198,46918
1900,0.7036,45019
1900,0.7886,45019
1900,0.5081,46918
1900,0.4449,45019
2000,0.4475,53378
2000,0.8045,51379
2000,0.429,51379
2000,0.524,59375
2000,0.4364,53378
2100,0.5959,53947
2100,0.8406,51848
2100,0.6687,51848
2100,0.6631,51848
2100,0.4435,51848
2200,0.4579,56516
2200,0.4822,56516
2200,1.0627,56516
2200,0.8691,56516
2200,0.955,56516
2300,0.5593,59086
2300,1.0549,61385
2300,0.796,59086
2300,0.5058,59086
2300,0.5195,61385
2400,0.6762,61635
2400,0.6423,59236
2400,0.7228,64034
2400,0.5437,59236
2400,0.5446,59236
2500,0.5513,64224
2500,0.6203,64224
2500,0.5565,61725
2500,0.9067,61725
2500,0.5881,61725
2600,0.5878,69379
2600,0.6098,71978
2600,0.5994,71978
2600,0.5737,71978
2600,0.5999,66780
2700,0.679,74759
2700,0.7344,74759
2700,0.6436,74759
2700,0.6734,74759
2700,0.6494,74759
2800,0.6971,83109
2800,0.6894,83109
2800,1.6205,80310
2800,0.6683,80310
2800,0.69,83109
2900,0.6548,74482
2900,0.7436,77381
2900,0.6383,74482
2900,1.0093,74482
2900,0.6579,77381
3000,0.7519,83054
3000,0.8224,77056
3000,0.9685,80055
3000,0.9569,80055
3000,1.2933,83054
3100,0.9851,88928
3100,0.7884,82730
3100,0.8454,85829
3100,1.0717,85829
3100,1.6179,85829
3200,1.3059,82185
3200,1.671,85384
3200,1.3075,82185
3200,1.3954,82185
3200,1.2079,85384
3300,1.3727,84753
3300,1.5505,84753
3300,1.5612,88052
3300,1.3928,88052
3300,1.5249,88052
3400,1.958,94121
3400,1.4252,100919
3400,1.4399,97520
3400,1.5433,97520
3400,1.8612,94121
3500,1.6854,96893
3500,1.5759,100392
3500,1.6669,100392
3500,1.5485,100392
3500,1.5949,103891
3600,2.2391,121235
3600,2.2331,110438
3600,1.743,114037
3600,2.0289,99641
3600,1.7608,114037
3700,2.3012,109823
3700,1.681,109823
3700,1.8601,113522
3700,2.3062,124619
3700,1.5879,102425
3800,1.5981,105188
3800,1.8165,105188
3800,1.9969,105188
3800,1.879,101389
3800,1.7908,101389
3900,1.7499,111854
3900,2.2206,111854
3900,2.3886,111854
3900,1.8428,107955
3900,1.804,115753
4000,2.3764,114721
4000,1.719,114721
4000,2.3132,114721
4000,1.8586,122719
4000,1.7268,114721
4100,2.3568,109385
4100,1.7132,113484
4100,1.8397,113484
4100,2.5691,113484
4100,1.7395,113484
4200,2.3333,112056
4200,1.8728,116255
4200,2.0206,116255
4200,2.355,116255
4200,2.0432,120454
4300,1.9882,119027
4300,1.6035,114728
4300,2.11,119027
4300,1.4147,114728
4300,1.2142,123326
4400,1.1351,130586
4400,2.3578,134985
4400,1.6328,126187
4400,2.1504,126187
4400,2.3875,139384
